Date,WMT,FB
8/27/2014,69.886322,74.629997
8/28/2014,69.932373,73.860001
8/29/2014,69.56382,74.82
9/2/2014,69.794174,76.68
9/3/2014,70.033745,75.830002
9/4/2014,70.540482,75.949997
9/5/2014,71.415794,77.260002
9/8/2014,70.51284,77.889999
9/9/2014,70.706322,76.669998
9/10/2014,70.494408,77.43
9/11/2014,70.116646,77.919998
9/12/2014,69.812614,77.480003
9/15/2014,69.849457,74.580002
9/16/2014,70.319344,76.080002
9/17/2014,70.245644,76.43
9/18/2014,70.227226,77
9/19/2014,70.79847,77.910004
9/22/2014,70.310143,76.800003
9/23/2014,69.655968,78.290001
9/24/2014,71.019615,78.540001
9/25/2014,70.135078,77.220001
9/26/2014,70.475998,78.790001
9/29/2014,70.098228,79
9/30/2014,70.45755,79.040001
10/1/2014,70.135078,76.550003
10/2/2014,70.23645,77.080002
10/3/2014,71.240738,77.440002
10/6/2014,71.268372,77.559998
10/7/2014,71.222305,76.290001
10/8/2014,72.088402,77.519997
10/9/2014,71.738266,75.910004
10/10/2014,72.134468,72.910004
10/13/2014,71.461853,72.989998
10/14/2014,71.848839,73.589996
10/15/2014,69.287415,73.209999
10/16/2014,68.01593,72.629997
10/17/2014,68.273918,75.949997
10/20/2014,69.23214,76.949997
10/21/2014,70.042938,78.690002
10/22/2014,70.052139,78.370003
10/23/2014,70.254845,80.040001
10/24/2014,70.374641,80.669998
10/27/2014,70.568108,80.279999
10/28/2014,70.346985,80.769997
10/29/2014,70.383858,75.860001
10/30/2014,70.439133,74.110001
10/31/2014,70.273285,74.989998
11/3/2014,70.282494,73.879997
11/4/2014,71.185455,75.760002
11/5/2014,71.590843,74.830002
11/6/2014,71.692192,75.260002
11/7/2014,72.576729,75.599998
11/10/2014,73.194046,75
11/11/2014,72.797867,74.610001
11/12/2014,72.9729,74.720001
11/13/2014,76.418854,74.25
11/14/2014,76.437279,74.879997
11/17/2014,76.999329,74.239998
11/18/2014,77.202026,74.339996
11/19/2014,78.307686,73.330002
11/20/2014,77.929924,73.599998
11/21/2014,77.994408,73.75
11/24/2014,78.68544,74.010002
11/25/2014,78.270821,75.629997
11/26/2014,78.298462,77.620003
11/28/2014,80.657181,77.699997
12/1/2014,79.440971,75.099998
12/2/2014,79.606827,75.459999
